log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f555w,a2d7,cont#50180",Z,eps,"wfpc2,2,f814w,a2d7,cont#50180"
1.26,0.825,2.0,5.267549,4.684592,4.981446,4.468272,0.0113287,7.031478,1.5484996088845355,8.491931846483947,4.171286309003744e-06,1.295081202978014e-08,0.0,EB,18.623359121818183 VEGAMAG,0.005,0.1,19.7243923254631 VEGAMAG
1.26,0.725,2.1,5.267386,4.462574,4.981097,4.475052,0.01142327,7.031793,1.5479456212060447,6.37440422116736,4.170777288755328e-06,5.2258266583399634e-09,0.0,EB,18.624686325078596 VEGAMAG,0.005,0.1,19.725631669944256 VEGAMAG
1.26,0.825,2.1,5.267807,4.684582,4.980664,4.468274,0.01388455,7.033591,1.5550512260415907,8.491746091256648,4.161711782062068e-06,1.29505138297461e-08,0.0,EB,18.615442067342073 VEGAMAG,0.005,0.1,19.716437838403742 VEGAMAG
1.26,0.875,2.1,5.268439,4.794255,4.980918,4.450898,0.01441038,7.035958,1.5570806223412514,10.437151800528143,4.162047189920106e-06,1.7872363959633857e-08,0.0,EB,18.612191464975 VEGAMAG,0.005,0.1,19.713137318412215 VEGAMAG
1.26,0.675,2.2,5.267823,4.346741,4.981345,4.470972,0.01217891,7.033611,1.550400500837086,5.684377346244263,4.1695578137278936e-06,3.062033938815973e-09,0.0,EB,18.620859054817863 VEGAMAG,0.005,0.1,19.721861574487917 VEGAMAG
1.26,0.725,2.2,5.268408,4.462514,4.980357,4.475036,0.01622391,7.035904,1.5579675221493503,6.37441743102837,4.157191206752184e-06,5.223865661943307e-09,0.0,EB,18.611893155562 VEGAMAG,0.005,0.1,19.713011916538985 VEGAMAG
1.26,0.775,2.2,5.268357,4.576017,4.980177,4.474256,0.01587848,7.03661,1.5597062053009232,7.290404074729501,4.15435877530075e-06,8.497927077555348e-09,0.0,EB,18.60974440590438 VEGAMAG,0.005,0.1,19.710954397711696 VEGAMAG
1.26,0.825,2.2,5.26794,4.684615,4.981132,4.468288,0.0128166,7.033489,1.5516783477767817,8.491532966580381,4.167148718783551e-06,1.2954331308774616e-08,0.0,EB,18.61940402599472 VEGAMAG,0.005,0.1,19.720353575214244 VEGAMAG
1.26,0.875,2.2,5.268814,4.794249,4.979807,4.4509,0.01772336,7.039595,1.565349071574324,10.43693551089792,4.147687234320156e-06,1.7872940105863777e-08,0.0,EB,18.602425891646213 VEGAMAG,0.005,0.1,19.70386355965418 VEGAMAG
1.26,0.925,2.2,5.267587,4.904878,4.981377,4.417886,0.01146342,7.031946,1.5483256197167083,13.801141226002338,4.172391000549428e-06,2.06236723314068e-08,0.0,EB,18.623715835709223 VEGAMAG,0.005,0.1,19.724726693674207 VEGAMAG
1.26,0.575,2.3,5.267839,4.10246,4.981538,4.452512,0.01163703,7.033028,1.5498465468303844,4.671580102562187,4.171209471778059e-06,9.111523507948847e-10,0.0,EB,18.62131918966535 VEGAMAG,0.005,0.1,19.7223873196867 VEGAMAG
1.26,0.625,2.3,5.267406,4.228044,4.98044,4.463028,0.01238254,7.033869,1.54967526092552,5.1430719498784985,4.170767685196771e-06,1.717275602888972e-09,0.0,EB,18.623345133377306 VEGAMAG,0.005,0.1,19.72443001593275 VEGAMAG
1.26,0.675,2.3,5.268631,4.346645,4.979915,4.470945,0.01717765,7.038943,1.5612882813023563,5.684462423837442,4.152503431394196e-06,3.060074500970153e-09,0.0,EB,18.607904211419275 VEGAMAG,0.005,0.1,19.70928355589786 VEGAMAG
1.26,0.725,2.3,5.268001,4.462552,4.980336,4.475049,0.01482682,7.035361,1.5568149734869534,6.374323494833779,4.158876270593619e-06,5.225393491513242e-09,0.0,EB,18.61353370574874 VEGAMAG,0.005,0.1,19.71466136240394 VEGAMAG
1.26,0.775,2.3,5.269295,4.575976,4.979623,4.474244,0.01902496,7.040124,1.5664671794696057,7.290462828681357,4.1442600564121885e-06,8.495677147432005e-09,0.0,EB,18.601090808158666 VEGAMAG,0.005,0.1,19.702684171196594 VEGAMAG
1.26,0.825,2.3,5.269545,4.684516,4.979422,4.46825,0.02030472,7.04106,1.572668180944418,8.492029614025144,4.137128401172362e-06,1.2944789720405744e-08,0.0,EB,18.59270017429139 VEGAMAG,0.005,0.1,19.694497836928626 VEGAMAG
1.26,0.875,2.3,5.269211,4.794246,4.979964,4.450896,0.01873343,7.040707,1.565927676568514,10.43712776812566,4.145433951544001e-06,1.787219934983657e-08,0.0,EB,18.601386350125463 VEGAMAG,0.005,0.1,19.702741161340512 VEGAMAG
1.26,0.525,2.4,5.267957,3.968821,4.981503,4.439561,0.01210714,7.033191,1.5502348649761302,4.251544215093939,4.17003787944548e-06,4.5399597234264076e-10,0.0,EB,18.620833588247997 VEGAMAG,0.005,0.1,19.721887290088937 VEGAMAG
1.26,0.575,2.4,5.267855,4.102437,4.980756,4.452507,0.01339909,7.034561,1.5546212509006865,4.67155213519807,4.162785182362674e-06,9.110327723104739e-10,0.0,EB,18.615878953022616 VEGAMAG,0.005,0.1,19.716853236114936 VEGAMAG
1.26,0.625,2.4,5.268067,4.228072,4.982146,4.463035,0.01161525,7.033191,1.5492842290652808,5.143081423775866,4.171238285571822e-06,1.717623605387149e-09,0.0,EB,18.6208277983045 VEGAMAG,0.005,0.1,19.72238648026638 VEGAMAG
1.26,0.675,2.4,5.269572,4.346579,4.978867,4.470927,0.02125636,7.042905,1.571813447433965,5.684502999753419,4.133795612743291e-06,3.058778296499669e-09,0.0,EB,18.59439825121641 VEGAMAG,0.005,0.1,19.696132105575867 VEGAMAG
1.26,0.725,2.4,5.26727,4.462521,4.97817,4.475041,0.01656881,7.037186,1.5613450833217368,6.374333769037639,4.150964316406792e-06,5.2243708789707495e-09,0.0,EB,18.60984802237367 VEGAMAG,0.005,0.1,19.710702602229112 VEGAMAG
1.26,0.775,2.4,5.269404,4.575949,4.97858,4.47424,0.02208782,7.041928,1.5756857231096588,7.290357071908937,4.12831663919215e-06,8.49462086404637e-09,0.0,EB,18.589378392107847 VEGAMAG,0.005,0.1,19.690871347154232 VEGAMAG
1.26,0.825,2.4,5.268317,4.684562,4.979746,4.468271,0.01670058,7.037037,1.5611912193432442,8.491656148080352,4.151929781471453e-06,1.2949589453274736e-08,0.0,EB,18.60829132612103 VEGAMAG,0.005,0.1,19.70976438413709 VEGAMAG
1.26,0.875,2.4,5.268052,4.794304,4.981042,4.450918,0.01331451,7.035368,1.5533263160048438,10.436791320301214,4.165546626006161e-06,1.7880184671633028e-08,0.0,EB,18.61723176871265 VEGAMAG,0.005,0.1,19.718174002919362 VEGAMAG
1.26,0.925,2.4,5.268099,4.904834,4.980933,4.417879,0.01392244,7.03452,1.5548410568081188,13.800855224247316,4.162871449760494e-06,2.0617974587358713e-08,0.0,EB,18.615292372731535 VEGAMAG,0.005,0.1,19.716236838362402 VEGAMAG
1.26,0.475,2.5,5.267442,3.825639,4.981415,4.424137,0.0112308,7.031481,1.5478151741824633,3.8708282326309007,4.173053955899746e-06,2.100627274230928e-10,0.0,EB,18.624370049493997 VEGAMAG,0.005,0.1,19.725392562944563 VEGAMAG
1.26,0.525,2.5,5.268763,3.968698,4.980435,4.439528,0.0167168,7.037804,1.5613159630409954,4.25158239448046,4.152905033498052e-06,4.5360621883366816e-10,0.0,EB,18.607102929772353 VEGAMAG,0.005,0.1,19.708189696233426 VEGAMAG
1.26,0.575,2.5,5.268279,4.102419,4.980931,4.452501,0.01437911,7.035769,1.5555808925525232,4.671595161981446,4.162468883865338e-06,9.109111120666318e-10,0.0,EB,18.614262666947173 VEGAMAG,0.005,0.1,19.71520730086414 VEGAMAG
1.26,0.625,2.5,5.268067,4.228028,4.981018,4.463024,0.01343811,7.035334,1.5522744171909768,5.14308497649188,4.166841683230652e-06,1.717105581858339e-09,0.0,EB,18.61873720550658 VEGAMAG,0.005,0.1,19.71967922493412 VEGAMAG
1.26,0.675,2.5,5.269785,4.346562,4.978622,4.470924,0.02207851,7.044153,1.5770443252024895,5.684482057309008,4.127632278297101e-06,3.058503628037562e-09,0.0,EB,18.587451928869484 VEGAMAG,0.005,0.1,19.688992545737023 VEGAMAG
1.26,0.725,2.5,5.269027,4.462484,4.979983,4.475027,0.01852763,7.039079,1.5634971718462198,6.374461464096114,4.146789593604848e-06,5.223011715689016e-09,0.0,EB,18.604730105304263 VEGAMAG,0.005,0.1,19.70607570655258 VEGAMAG
