log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.4,0.525,3.36,5.568767,4.304512,4.578639,4.443674,0.1791802,11.28865,12.30971505474422,6.139948098093716,1.2615776893156457e-05,4.952152383899063e-09,0.0,LB
1.4,0.975,3.36,5.568904,5.376465,4.487911,3.61746,0.2093752,11.3013,21.244523763699792,947.7526337947173,1.2115629946538941e-05,1.9506349441199148e-05,0.0,LB
1.4,0.675,3.38,5.564821,4.708994,4.808512,4.466498,0.1468907,11.28105,4.452048634983957,8.80551984126695,1.3479879191162558e-05,3.4348359523423675e-08,0.0,LB
1.4,0.725,3.38,5.569872,4.830326,4.973281,4.464623,0.09111333,11.26968,2.228018024879945,10.213321428037961,1.5937235862090045e-05,5.65483581569308e-08,0.0,LB
1.4,0.775,3.38,5.566584,4.938985,5.028511,4.456283,0.03950225,11.25953,1.7380925577925048,12.027517570006916,1.8754478829841537e-05,8.311530444386075e-08,0.0,LB
1.4,0.825,3.38,5.565883,5.039881,5.031111,4.434422,0.03389525,11.25666,1.7180650372569817,14.939497846079304,1.898890842101364e-05,1.0339725280479189e-07,0.0,LB
1.4,0.875,3.38,5.56579,5.13135,5.032994,4.390972,0.03018783,11.25852,1.7053754235418348,20.274819662437114,1.913727069629668e-05,1.6056319445869445e-06,0.0,LB
1.4,0.925,3.38,5.570298,5.208734,4.805971,4.311263,0.1469822,11.28467,4.744876357300105,31.999927914806584,1.338011974021617e-05,1.9806010274172808e-06,0.0,LB
1.38,0.975,3.36,5.527043,5.331281,5.021119,3.561184,0.03659744,10.595,1.6929350633297497,1165.7649670707228,1.6847171620431587e-05,2.015978982132747e-05,0.0,LB
1.38,0.925,3.38,5.526827,5.17962,5.021147,4.350114,0.03656726,10.59251,1.6893059044254446,25.87223813837795,1.6820193979201315e-05,1.8538432073437885e-06,0.0,LB
1.38,0.975,3.38,5.530157,5.324439,4.876133,3.56096,0.1167164,10.60921,3.1507990075379357,1157.9771775189395,1.2812267574568751e-05,1.9625783334785962e-05,0.0,LB
1.38,0.475,3.4,5.529221,4.160157,4.653481,4.434232,0.1602203,10.62316,8.085517101162354,5.430887418187382,1.140832802479691e-05,2.4044513816377244e-09,0.0,LB
1.38,0.775,3.4,5.524799,4.915424,5.033408,4.463943,0.01014023,10.58919,1.6015983031048144,11.299936422666832,1.7676610807334858e-05,7.918209716375807e-08,0.0,LB
1.38,0.825,3.4,5.526179,5.011152,5.022068,4.44555,0.03333473,10.59342,1.6810688468810118,13.731532211193057,1.6956803989009105e-05,1.0076413938856029e-07,0.0,LB
1.38,0.875,3.4,5.527836,5.103605,5.011624,4.410676,0.04834585,10.59524,1.7615797123450874,17.934323528339593,1.631018924005096e-05,1.45861944873396e-06,0.0,LB
1.38,0.925,3.4,5.531568,5.175387,4.858277,4.342811,0.1211093,10.61273,3.4618113700613664,26.626188360992032,1.2559142843873551e-05,1.8058846229072956e-06,0.0,LB
1.38,0.975,3.4,5.529581,5.322963,4.458138,3.571105,0.2306168,10.64208,23.387241485865975,1103.0418750972772,1.049037468068863e-05,1.8756206260726677e-05,0.0,LB
1.38,0.575,3.42,5.532852,4.39481,4.176814,4.450243,0.3269692,10.66542,74.10951993282559,6.609601862331446,9.886282130222892e-06,7.782533521792592e-09,0.0,LB
1.38,0.625,3.42,5.531168,4.555231,4.479616,4.465336,0.2076256,10.63573,21.201422465770683,7.4164897356136725,1.0693503108155796e-05,1.7474831629572973e-08,0.0,LB
1.38,0.675,3.42,5.531255,4.680897,4.509869,4.468694,0.1821374,10.63152,17.923713774242042,8.43943358878319,1.1014835104188751e-05,3.0784067313358e-08,0.0,LB
1.38,0.725,3.42,5.530052,4.795415,4.54268,4.466724,0.1714451,10.62544,14.273845774567691,9.716507718566676,1.1193966426111126e-05,4.936953082558366e-08,0.0,LB
1.38,0.775,3.42,5.530988,4.899567,4.626975,4.458481,0.1632198,10.6237,9.050352609076294,11.378159042795001,1.1350604724792336e-05,7.158235793113777e-08,0.0,LB
1.38,0.825,3.42,5.531372,4.999205,4.645618,4.439809,0.1616125,10.62435,8.600529701387554,13.906889375360374,1.1383242818978855e-05,9.181148247971015e-08,0.0,LB
1.38,0.875,3.42,5.530852,5.09299,4.538901,4.402334,0.1748219,10.62298,14.769336995272331,18.41000896544211,1.1176324426620208e-05,1.3921659261061612e-06,0.0,LB
1.38,0.925,3.42,5.528765,5.168522,4.463808,4.329807,0.2257162,10.64058,22.81670881474959,28.047941956190783,1.0526912182908183e-05,1.728661660467784e-06,0.0,LB
1.38,0.975,3.42,5.532879,5.32678,4.22004,3.577744,0.3167862,10.66268,50.06197742009206,1075.2365036412987,9.940906751219712e-06,1.8578900121185877e-05,0.0,LB
1.38,0.725,3.44,5.533427,4.767449,4.169107,4.458967,0.3336379,10.6636,80.38832876849804,9.75083258570404,9.8684966948662e-06,4.1748127389907406e-08,0.0,LB
1.38,0.775,3.44,5.532741,4.878856,4.323335,4.451243,0.3035533,10.66275,37.56756097719192,11.486586833402093,1.0023029301874573e-05,6.24702149088152e-08,0.0,LB
1.38,0.825,3.44,5.531778,4.984531,4.391453,4.432739,0.2830001,10.65557,30.55596472574532,14.126383753460669,1.01299896118935e-05,8.164902442865067e-08,0.0,LB
1.38,0.875,3.44,5.532481,5.080627,4.409835,4.391997,0.2728629,10.65261,28.545654168702956,19.036232480845353,1.0198187676629134e-05,1.3180017897544818e-06,0.0,LB
1.38,0.925,3.44,5.53273,5.159564,4.128089,4.311771,0.3601121,10.66867,109.10810174108829,30.162129483109695,9.745048390199112e-06,1.6280734723114204e-06,0.0,LB
1.36,0.975,3.34,5.495641,5.303296,5.022537,3.539408,0.02951382,9.955315,1.649697818094321,1247.7885611341624,1.5206245578651342e-05,1.9566583473530175e-05,0.0,LB
1.36,0.975,3.36,5.499004,5.299436,4.685638,3.541786,0.1509596,9.979783,7.304034232843805,1228.8277209911125,1.0223273982739408e-05,1.9087409898663252e-05,0.0,LB
1.36,0.925,3.38,5.498746,5.143053,4.634304,4.366934,0.1550085,9.982705,8.530570961524637,22.956834324136345,1.0129593091882004e-05,1.630339309300926e-06,0.0,LB
1.36,0.975,3.38,5.495785,5.275178,4.441695,3.538107,0.2344347,10.01102,24.15766753041686,1215.368566927348,9.209074789236759e-06,1.753779543270149e-05,0.0,LB
