log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f450w,a2d7,cont#50180",Z,eps,"wfpc2,2,f606w,a2d7,cont#50180","wfpc2,2,f814w,a2d7,cont#50180"
1.26,0.825,2.0,5.267549,4.684592,4.981446,4.468272,0.0113287,7.031478,1.5484996088845355,8.491931846483947,4.171286309003744e-06,1.295081202978014e-08,0.0,EB,18.11588897001657 VEGAMAG,0.005,0.1,16.981675701129518 VEGAMAG,19.102460260265612 VEGAMAG
1.26,0.725,2.1,5.267386,4.462574,4.981097,4.475052,0.01142327,7.031793,1.5479456212060447,6.37440422116736,4.170777288755328e-06,5.2258266583399634e-09,0.0,EB,18.117767850003194 VEGAMAG,0.005,0.1,16.983818462470317 VEGAMAG,19.103820546413807 VEGAMAG
1.26,0.825,2.1,5.267807,4.684582,4.980664,4.468274,0.01388455,7.033591,1.5550512260415907,8.491746091256648,4.161711782062068e-06,1.29505138297461e-08,0.0,EB,18.109146707402296 VEGAMAG,0.005,0.1,16.97557482949869 VEGAMAG,19.094731189290314 VEGAMAG
1.26,0.875,2.1,5.268439,4.794255,4.980918,4.450898,0.01441038,7.035958,1.5570806223412514,10.437151800528143,4.162047189920106e-06,1.7872363959633857e-08,0.0,EB,18.105540334347573 VEGAMAG,0.005,0.1,16.971742415169583 VEGAMAG,19.091380367155647 VEGAMAG
1.26,0.675,2.2,5.267823,4.346741,4.981345,4.470972,0.01217891,7.033611,1.550400500837086,5.684377346244263,4.1695578137278936e-06,3.062033938815973e-09,0.0,EB,18.11354578388716 VEGAMAG,0.005,0.1,16.979408867433477 VEGAMAG,19.099968066666445 VEGAMAG
1.26,0.725,2.2,5.268408,4.462514,4.980357,4.475036,0.01622391,7.035904,1.5579675221493503,6.37441743102837,4.157191206752184e-06,5.223865661943307e-09,0.0,EB,18.10602897610231 VEGAMAG,0.005,0.1,16.972728184477948 VEGAMAG,19.09136194869324 VEGAMAG
1.26,0.775,2.2,5.268357,4.576017,4.980177,4.474256,0.01587848,7.03661,1.5597062053009232,7.290404074729501,4.15435877530075e-06,8.497927077555348e-09,0.0,EB,18.10416310053435 VEGAMAG,0.005,0.1,16.971028369093002 VEGAMAG,19.08933663918072 VEGAMAG
1.26,0.825,2.2,5.26794,4.684615,4.981132,4.468288,0.0128166,7.033489,1.5516783477767817,8.491532966580381,4.167148718783551e-06,1.2954331308774616e-08,0.0,EB,18.112428031275932 VEGAMAG,0.005,0.1,16.978451220775067 VEGAMAG,19.09853004431421 VEGAMAG
1.26,0.875,2.2,5.268814,4.794249,4.979807,4.4509,0.01772336,7.039595,1.565349071574324,10.43693551089792,4.147687234320156e-06,1.7872940105863777e-08,0.0,EB,18.097461420412632 VEGAMAG,0.005,0.1,16.964672931894153 VEGAMAG,19.08230744341672 VEGAMAG
1.26,0.925,2.2,5.267587,4.904878,4.981377,4.417886,0.01146342,7.031946,1.5483256197167083,13.801141226002338,4.172391000549428e-06,2.06236723314068e-08,0.0,EB,18.11635236044384 VEGAMAG,0.005,0.1,16.982191063297837 VEGAMAG,19.102821182210885 VEGAMAG
1.26,0.575,2.3,5.267839,4.10246,4.981538,4.452512,0.01163703,7.033028,1.5498465468303844,4.671580102562187,4.171209471778059e-06,9.111523507948847e-10,0.0,EB,18.113705030786697 VEGAMAG,0.005,0.1,16.979427890009006 VEGAMAG,19.100417512441812 VEGAMAG
1.26,0.625,2.3,5.267406,4.228044,4.98044,4.463028,0.01238254,7.033869,1.54967526092552,5.1430719498784985,4.170767685196771e-06,1.717275602888972e-09,0.0,EB,18.117359598574488 VEGAMAG,0.005,0.1,16.983985391368613 VEGAMAG,19.10276348486597 VEGAMAG
1.26,0.675,2.3,5.268631,4.346645,4.979915,4.470945,0.01717765,7.038943,1.5612882813023563,5.684462423837442,4.152503431394196e-06,3.060074500970153e-09,0.0,EB,18.10276856876658 VEGAMAG,0.005,0.1,16.969880173642537 VEGAMAG,19.087707472482293 VEGAMAG
1.26,0.725,2.3,5.268001,4.462552,4.980336,4.475049,0.01482682,7.035361,1.5568149734869534,6.374323494833779,4.158876270593619e-06,5.225393491513242e-09,0.0,EB,18.107701031735864 VEGAMAG,0.005,0.1,16.97441889084946 VEGAMAG,19.093015597588384 VEGAMAG
1.26,0.775,2.3,5.269295,4.575976,4.979623,4.474244,0.01902496,7.040124,1.5664671794696057,7.290462828681357,4.1442600564121885e-06,8.495677147432005e-09,0.0,EB,18.096477076885705 VEGAMAG,0.005,0.1,16.963859633790918 VEGAMAG,19.081158755639755 VEGAMAG
